2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:TypeError: 'undefined' is not an object: line:0 srcId:undefined
2016-01-31 22:04:02.698 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:02.714 [] INFO  KEQWebPage  - JS Console:1184: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-1.html
2016-01-31 22:04:02.714 [] INFO  KEQWebPage  - JS Console:915: line:46 srcId:file:///Users/garylai/Documents/untitled%20folder/html/Page-1.html
2016-01-31 22:04:02.737 [] INFO  KEQWebPage  - JS Console:LOG: In Template Loaded Function: line:1573 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating head tag for comic page
2016-01-31 22:04:02.738 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Creating body tag for comic page
2016-01-31 22:04:02.739 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing Manga Page content to update the model
2016-01-31 22:04:02.740 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Parsing comic page for image path
2016-01-31 22:04:02.740 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Found relative image path in comic page
2016-01-31 22:04:02.740 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Page generated by Kindle Comic Creator
2016-01-31 22:04:02.812 [] INFO  KEQWebPage  - JS Console:In Get available frame : Page value s- -1: line:324 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.882 [] INFO  KEQWebPage  - JS Console:frame loaded: frameLab126-1: line:72 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.882 [] INFO  KEQWebPage  - JS Console:dow: null: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.883 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.5414285714285715: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.883 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.883 [] INFO  KEQWebPage  - JS Console:top is 442pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.884 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:02.886 [] INFO  KEQWebPage  - JS Console:PAGE ALREADY LOADED: line:239 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.887 [] INFO  KEQWebPage  - JS Console:dow: 1400: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.887 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.5414285714285715: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:02.887 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|758|1024|center: line:385 srcId:qrc:/js/js/manga-template.js
